Product_ID,Brand,Product_name,Price,Ratings,Reviews,Promotions,Product_link
p6250001,TASSIMO ,"by Bosch SUNY 'Special Edition' TAS3102GB Coffee Machine, Black",£29.99,4.90,7,N/A,https://www.johnlewis.com/tassimo-by-bosch-suny-special-edition-tas3102gb-coffee-machine-black/p6250001
p2845232,Nespresso ,CitiZ & Milk Coffee Machine by Magimix,£213.00,4.70,301,N/A,https://www.johnlewis.com/nespresso-citiz-milk-coffee-machine-by-magimix/black/p2845232
p4403083,Nespresso ,EN650 Gran Lattissima Capsule Coffee Machine by De'Longhi,£229.99,3.70,18,Save £140 (price includes saving),https://www.johnlewis.com/nespresso-en650-gran-lattissima-capsule-coffee-machine-by-delonghi/p4403083
p2907176,Nespresso ,"CitiZ Coffee Machine by Magimix, Chrome Effect",£195.00,4.70,301,N/A,https://www.johnlewis.com/nespresso-citiz-coffee-machine-by-magimix-chrome-effect/p2907176
p5233555,Nespresso ,"Vertuo Next 11709 Coffee Machine by Magimix, Chrome",£119.00,4.60,666,Save £50 (price includes saving)Buy and subscribe to claim half price subscription for 12 months to Nespresso plus (saving £150 off your first year) and claim a coffee lovers gift set (Via redemption),https://www.johnlewis.com/nespresso-vertuo-next-11709-coffee-machine-by-magimix-chrome/p5233555
p5301599,Nespresso ,Lattissima Touch EN560 Coffee Machine by De'Longhi,£199.00,4.30,77,Save £100 (price includes saving) selected colours only,https://www.johnlewis.com/nespresso-lattissima-touch-en560-coffee-machine-by-delonghi/silver/p5301599
p2905508,Nespresso ,"CitiZ & Milk Coffee Machine by Magimix, Chrome Effect",£245.00,4.70,301,N/A,https://www.johnlewis.com/nespresso-citiz-milk-coffee-machine-by-magimix-chrome-effect/p2905508
p4839988,John Lewis ,"Pump Espresso Coffee Machine, Stainless Steel",£70.00,4.30,171,N/A,https://www.johnlewis.com/john-lewis-pump-espresso-coffee-machine-stainless-steel/p4839988
p5019464,Nespresso ,Vertuo Next Coffee Maker by Magimix,£69.99,4.60,666,"Save £9 (price includes saving)Buy and subscribe to claim half price subscription for 12 months to Nespresso plus (saving £150 off your first year) and claim a coffee lovers gift set (Via redemption)Save £9 (price includes saving, selected colours only))",https://www.johnlewis.com/nespresso-vertuo-next-coffee-maker-by-magimix/p5019464
p5771986,De'Longhi ,"Magnifica ECAM290.81.TB Evo Fully Automatic Bean-to-Cup Coffee Machine, Titanium",£445.00,4.70,41,Claim a 100 day money back guarantee (Via redemption),https://www.johnlewis.com/delonghi-magnifica-ecam290-81-tb-evo-fully-automatic-bean-to-cup-coffee-machine-titanium/p5771986
p3501284,Sage ,Barista Express Bean-to-Cup Coffee Machine,£598.00,4.60,386,Claim a bonus gift pack (Via redemption),https://www.johnlewis.com/sage-barista-express-bean-to-cup-coffee-machine/p3501284
p4801147,Nespresso ,Vertuo Plus XN903840 Coffee Machine by Krups with Pods,£127.00,4.70,151,Buy and subscribe to claim half price subscription for 12 months to Nespresso plus (saving £150 off your first year) and claim a coffee lovers gift set (Via redemption),https://www.johnlewis.com/nespresso-vertuo-plus-xn903840-coffee-machine-by-krups-with-pods/p4801147
p3779133,Sage ,"SES500BSS Bambino Plus Coffee Machine, Silver",£399.00,4.60,194,Claim a bonus gift pack (Via redemption),https://www.johnlewis.com/sage-ses500bss-bambino-plus-coffee-machine-silver/p3779133
p3443339,Lavazza ,A Modo Mio Jolie Plus Coffee Machine with Milk Frother,£129.00,4.70,119,N/A,https://www.johnlewis.com/lavazza-a-modo-mio-jolie-plus-coffee-machine-with-milk-frother/p3443339
p4509055,Lavazza ,"Jolie Coffee Machine, Black",£65.00,4.50,62,N/A,https://www.johnlewis.com/lavazza-jolie-coffee-machine-black/p4509055
p5521908,Nespresso ,"CitiZ Coffee Machine, Black",£175.00,4.70,301,N/A,https://www.johnlewis.com/nespresso-citiz-coffee-machine-black/p5521908
p4019308,Lavazza ,A Modo Mio Desea Coffee Machine,£159.00 - £199.00,4.30,68,N/A,https://www.johnlewis.com/lavazza-a-modo-mio-desea-coffee-machine/p4019308
p4839837,John Lewis ,"Pump Espresso Coffee Machine with Milk Frother, Stainless Steel",£100.00,4.30,117,N/A,https://www.johnlewis.com/john-lewis-pump-espresso-coffee-machine-with-milk-frother-stainless-steel/p4839837
p6262524,De'Longhi ,Dedica Arte Metallics Espresso Coffee Machine,£249.99 - £269.99,5.00,1,N/A,https://www.johnlewis.com/delonghi-dedica-arte-metallics-espresso-coffee-machine/p6262524
p4797480,Sage ,"Oracle Touch Fully Automatic Bean-to-Cup Coffee Machine, Black Truffle","£1,799.95",4.60,164,Claim a bonus gift pack (Via redemption),https://www.johnlewis.com/sage-oracle-touch-fully-automatic-bean-to-cup-coffee-machine-black-truffle/p4797480
p4879259,Nespresso ,"Creatista Pro SNE900BSS Coffee Machine by Sage, Stainless Steel",£449.95,4.60,50,N/A,https://www.johnlewis.com/nespresso-creatista-pro-sne900bss-coffee-machine-by-sage-stainless-steel/p4879259
p6263799,Sage ,"the Barista Express™ Impress Coffee Machine, Black Truffle",£679.95,4.90,42,Save £50 (price includes saving)Claim a free Bonus gift pack (Via redemption),https://www.johnlewis.com/sage-the-barista-express-impress-coffee-machine-black-truffle/p6263799
p4081414,Sage ,SES878 The Barista Pro Coffee Machine,£698.00 - £729.00,4.80,281,Claim a free Bonus gift pack (Via redemption),https://www.johnlewis.com/sage-ses878-the-barista-pro-coffee-machine/p4081414
p6354148,Sage ,"the Barista Express™ Impress Coffee Machine, Stainless Steel",£729.00,4.90,42,Claim a free Bonus gift pack (Via redemption),https://www.johnlewis.com/sage-the-barista-express-impress-coffee-machine-stainless-steel/p6354148
p5075143,Siemens ,"TI351209GB EQ.300 Bean to Cup Coffee Machine, Black",£299.00,4.40,40,Price drop,https://www.johnlewis.com/siemens-ti351209gb-eq-300-bean-to-cup-coffee-machine-black/p5075143
p6263794,Sage ,the Bambino® Stainless Steel Coffee Machine,£329.00,4.40,57,N/A,https://www.johnlewis.com/sage-the-bambino-stainless-steel-coffee-machine/p6263794
p109126018,Nespresso ,Vertuo Pop Coffee Pod Machine by Krups,£99.00,4.80,27,Buy and subscribe to claim half price subscription for 12 months to Nespresso plus (saving £150 off your first year) and claim a coffee lovers gift set (Via redemption),https://www.johnlewis.com/nespresso-vertuo-pop-coffee-pod-machine-by-krups/aqua/p109126018
p5570741,De'Longhi ,EC9355 La Specialista Prestigio Bean to Cup Espresso Coffee Machine,£789.99,4.80,9,Claim a 100 day money back guarantee (Via redemption),https://www.johnlewis.com/delonghi-ec9355-la-specialista-prestigio-bean-to-cup-espresso-coffee-machine/p5570741
p3811244,Sage ,The Precision Brewer Coffee Machine,£179.00,4.70,82,Save £80 (price includes saving),https://www.johnlewis.com/sage-the-precision-brewer-coffee-machine/p3811244
p109265036,Nespresso ,Vertuo Pop Coffee Pod Machine by Magimix,£99.00,4.60,40,Buy and subscribe to claim half price subscription for 12 months to Nespresso plus (saving £150 off your first year) and claim a coffee lovers gift set (Via redemption),https://www.johnlewis.com/nespresso-vertuo-pop-coffee-pod-machine-by-magimix/p109265036
p6271650,JURA ,"E6 15511 Coffee Machine, Black",£765.00,N/A,N/A,Save £100 (price includes saving),https://www.johnlewis.com/jura-e6-15511-coffee-machine-black/p6271650
p6250024,Nespresso ,"Vertuo Plus Deluxe Coffee Machine & Aeroccino Set, Black",£250.00,4.40,194,Buy and subscribe to claim half price subscription for 12 months to Nespresso plus (saving £150 off your first year) and claim a coffee lovers gift set (Via redemption),https://www.johnlewis.com/nespresso-vertuo-plus-deluxe-coffee-machine-aeroccino-set-black/p6250024
p6263795,Sage ,"the Barista Touch™ Coffee Machine, Black Truffle",£899.95,4.80,43,Claim a free Bonus gift pack (Via redemption),https://www.johnlewis.com/sage-the-barista-touch-coffee-machine-black-truffle/p6263795
p3349117,Sage ,Barista Touch Barista Quality Bean-to-Cup Coffee Machine,"£1,049.00",4.70,246,Claim a free Bonus gift pack (Via redemption),https://www.johnlewis.com/sage-barista-touch-barista-quality-bean-to-cup-coffee-machine/p3349117
p4323194,Nespresso ,Vertuo Plus LE Coffee Machine by Magimix,£130.00 - £150.00,4.60,666,N/A,https://www.johnlewis.com/nespresso-vertuo-plus-le-coffee-machine-by-magimix/p4323194
p5795985,De'Longhi ,"Magnifica ECAM290.22.B Evo Fully Automatic Bean-to-Cup Coffee Machine, Black",£419.99,3.90,18,Claim a 100 day money back guarantee (Via redemption),https://www.johnlewis.com/delonghi-magnifica-ecam290-22-b-evo-fully-automatic-bean-to-cup-coffee-machine-black/p5795985
p5577624,Siemens ,TQ703GB7 EQ700 Bean to Cup Coffee Machine with Home Connect,£899.00,4.30,29,Save £100 (price includes saving),https://www.johnlewis.com/siemens-tq703gb7-eq700-bean-to-cup-coffee-machine-with-home-connect/p5577624
