Product_ID,Automatic or Manual,Brand,Cable length (m),Capacity,Care instructions,Coffee Type,Cup Warmer,Dimensions,Filter Included,Material,Milk Functionality,Model name / number,Number of cups,Power,Power Supply,Range,Removable Reservoir,Types Of Drink Produced,Types of coffee produced,Water Pressure,Weight,Country of Origin,Quiet Mark,Home Appliance Features,Smart Technology,Gifts by Interest
p6250001,Automatic,TASSIMO,0.9m,0.8L,Wipe clean,Pod,NO,H25.1 x W16.7 x D30.5 cm,NO,Plastic,Automatic,TAS3102GB,1,1300W,Mains,TASSIMO by Bosch,YES,"Americano, Cappuccino, Espresso, Flat White, Hot Chocolate, Latte","Americano, Cappuccino, Espresso, Flat White, Hot Chocolate, Latte",3.3 bar,2.37kg,,,,,
p2845232,Automatic,Nespresso,0.80m,1L,,Pod,NO,H37.2 x W21.9 x D27.3cm,NO,Stainless steel,Automatic,11317,,1870W,Mains,CitiZ,Yes,"Americano, Cappuccino, Espresso, Flat White, Latte",,19 bar,,China,Not Accredited,,,
p4403083,Automatic,Nespresso,0.7m,1L,Wipe clean only,Pod,NO,H27.6 x W36.7 x D20.3cm,Not included,Plastic,Automatic,8805392G ,10,1400w,Mains,,YES,"Cappuccino, Coffee, Espresso, Espresso Macchiato, Hot Milk, Hot Water, Latte",,19 bar,,Italy,,,,
p2907176,Automatic,Nespresso,,1L,,Pod,NO,H37.1 x W13 x D27.3cm,NO,Stainless steel,None,11316,,1260W,Mains,CitiZ,Yes,"Cappuccino, Espresso, Flat White, Latte",,19 bar,,Switzerland,Not Accredited,,,
p5233555,Automatic,Nespresso,0.75m,1.1L,,Pod,NO,H31.4 x W14.2 x D39.2 cm,NO,Recycled Plastic,None,11709,,1260W,Mains,Vertuo,Yes,"Americano, Espresso, Latte",,,4kg,,,,,
p5301599,Automatic,Nespresso,,0.9L,,Pod,NO,H25.8cm x W17.3cm x D32cm,NO,Metal,Automatic,EN560.S,,1400W,Mains,Lattissima,Yes,"Americano, Cappuccino, Espresso, Flat White, Latte",,19 bar,4.5kg,Italy,Not Accredited,,,
p2905508,Automatic,Nespresso,,1L,,Pod,NO,H37.1 x W13 x D27.3cm,NO,Stainless steel,Automatic,11300,,1870W,Mains,CitiZ,Yes,"Cappuccino, Espresso, Flat White, Latte",,19 bar,,Switzerland,Not Accredited,,,
p4839988,Automatic,John Lewis,,1.25L,,Ground,YES,H29.0 x W20.6 x D25.0cm,Stainless steel,Stainless steel,None, JL PUMP ESP NO MILK,1,1350W,Mains,,Yes,"Cappuccino, Latte",,15 bar,,China,,,,
p5019464,Automatic,Nespresso,0.75m,1.1L,,Pod,NO,H31.4 x W14.2 x D39.2 cm,NO,Recycled Plastic,None,11709,,1260W,Mains,Vertuo,Yes,"Americano, Coffee, Espresso, Latte",,,4kg,,,,,
p5771986,Automatic,De'Longhi,1m,"1.8L, Milk Carafe: 220ml",,Bean to cup,NO,H40 x W29.5 x D48.8 cm,NO,"Plastic, Metal",Automatic,ECAM290,,1450W,Mains,,,"Cappuccino, Coffee, Espresso, Latte","Espresso, coffee, long, cappuccino, latte macchiato ",15 bar,9.6kg,,,,,
p3501284,Manual,Sage,2.00m,2L,,Bean to cup,YES,H40cm x W33cm x D31cm,YES,Stainless Steel,Manual,BES875UK,,1700W,Mains,,YES,"Americano, Cappuccino, Espresso, Flat White, Latte",,15 bar,10.6kg,China,Not Accredited,,,
p4801147,Automatic,Nespresso,,1.20L,,Pod,NO,H32.5 x W23.2 x D33.5cm,NO,Metal and plastic,None,XN903840,1,1260W,Mains,Vertuo,Yes,"Espresso, Gran Lungo",,19 bar,4.6kg,,Not Accredited,,,
p3779133,Automatic,Sage,1m,1.9L,,Ground,NO,D32 x H31 W20cm,Stainless steel,Metal,Automatic,SES500BSS ,,1600W,Mains,,Yes,"Americano, Cappuccino, Espresso, Latte",,15 bar,6.7kg,China,Certified,,,
p3443339,Automatic,Lavazza,0.80m,0.6L,,Pod,NO,H21.7cm x W22.2cm x D33.1cm,NO,Plastic,Automatic,18000230 ,,1250W,Mains,,Yes,"Cappuccino, Espresso, Hot Foam, Hot Milk, Latte, Ristretto","Espresso, Cappucino, Hot Milk, Latte, Lungo, Milk Froth, Ristretto ",10 bar,3.7kg,Poland,Not Accredited,,,
p4509055,Automatic,Lavazza,0.8m,0.6L,,Pod,NO,H21 x W12 x D32.5 cm,,Metal,None,Jolie,1,240W,Mains,,Yes,"Alto Lungo, Americano, Espresso",,10 bar,2.5kg,,,,,
p5521908,Automatic,Nespresso,0.7m,1L,,Pod,NO,H27.6 x W13 x D37.1 cm,NO,ABS,None,11315,1,1260W,Mains,CitiZ,YES,"Cappuccino, Espresso, Flat White, Latte",,19 bar,3.1kg,,,,,
p4019308,Automatic,Lavazza,0.8m,1.1L,Wipe clean only ,Pod,NO,Packaged: L19 x H35.2 x W50.3cm,NO,Plastic,Automatic,18000290 ,,240W,Mains,,YES,"Americano, Cappuccino, Espresso, Latte",,10 bar,Packaged: 4.8kg,China,,,,
p4839837,Manual,John Lewis,,1.2L,,Ground,NO,H32.3 x W20.1 x D32.3 cm,Stainless steel,Stainless steel,Automatic,JL PUMP ESP MILK,1,1300W,Mains,,Yes,"Cappuccino, Espresso, Espresso Macchiato, Hot Foam, Latte",,15 bar,,China,,,,
p6262524,Automatic,De'Longhi,,1.3L,,Bean-to-cup,NO,H30.5 x W14.9 x D33 cm,NO,Stainless steel,Automatic,EC885,2,1300W,Mains,Dedica Arte,YES,"Cappuccino, Espresso, Latte","Cappuccino, Espresso, Latte",15 bar,4kg,,,,,
p4797480,Automatic,Sage,1m,2.5L,,Bean to cup,NO,H45.4 x W37.3 x D39.2cm,NO,Metal,Automatic,"Oracle Touch, black truffle",2,2400W,Mains,Oracle,Yes,"Americano, Cappuccino, Espresso, Flat White, Latte",,15 bar,16.9kg,,Not Accredited,,,
p4879259,Manual,Nespresso,,2L,,Pod,NO,H33 x W43 x D20 cm,NO,Stainless Steel,Automatic,SNE900BSS,,2300W,Mains,,No,"Americano, Cappuccino, Espresso, Flat White, Latte",,19 bar,6.5kg,,Certified,,,
p6263799,Manual,Sage,,250g bean hopper / 2L,,Bean to cup,YES,H41 x W33 x D38 cm,,Stainless steel,Manual,SES876B,,1560W,Mains,,YES,"Americano, Cappuccino, Espresso, Espresso Macchiato, Flat White, Hot Chocolate, Hot Foam, Hot Milk, Latte, Ristretto","Americano, Cappuccino, Espresso, Espresso Macchiato, Flat White, Hot Chocolate, Hot Foam, Hot Milk, Latte, Ristretto",,10.98kg,,,,,
p4081414,Manual,Sage,1m,2L,Wipe clean only ,Bean to cup,NO,H40.6 x W35.4 x D40.6cm,YES,Brushed stainless steel,Manual,SES878BSS,2,1680W,Mains,,YES,"Americano, Cappuccino, Espresso, Latte",,15 bar,9kg,China,Certified,,,
p6354148,Manual,Sage,,250g bean hopper / 2L,,Bean to cup,YES,H41 x W33 x D38 cm,,Stainless steel,Manual,SES876,,1560W,Mains,,YES,"Americano, Cappuccino, Espresso, Espresso Macchiato, Flat White, Hot Chocolate, Hot Foam, Hot Milk, Latte, Ristretto","Americano, Cappuccino, Espresso, Espresso Macchiato, Flat White, Hot Chocolate, Hot Foam, Hot Milk, Latte, Ristretto",,10.98kg,,,,,
p5075143,Automatic,Siemens,1m,1.4L,Regular descaling recommended                     ,Bean to cup,NO,H38.3 x W25.1 x D40.5 cm,Brita Filter,Plastic,Automatic,EQ3,,1300W,Mains,,Yes,"Americano, Cappuccino, Espresso, Flat White, Latte",,,7.2kg,,,,,
p6263794,Automatic,Sage,,1.38L,,Bean to cup,NO,H31 x W19.5 x D32 cm,,Stainless steel,Automatic,SES450BSS4GUK1,2,1300W,Mains,,YES,Espresso,Espresso,15 bar,4.95kg,,,,,
p109126018,Automatic,Nespresso,0.8m,0.56L,,Pod,NO,H25 x W13.5 x D42.6 cm,NO,Plastic ,Automatic,XN920440,1,1300W,Mains,Vertuo,YES,Espresso,"Espresso, Lungo",,3.63kg,,,,,
p5570741,Manual,De'Longhi,1m,2L,,Bean to cup,YES,H30.5 x W15 x D33 cm,NO,"Metal, Plastic",Automatic,EC9355,,1450kW,Mains,,YES,"Americano, Cappuccino, Espresso, Flat White, Hot Chocolate, Hot Foam, Hot Milk, Latte","Americano, Cappuccino, Espresso, Flat White, hot Chocolate, Hot Milk, Latte, Lungo, Macchiato, Milk Froth",19 bar,4kg,,,,,
